,X,PC1,PC2,PC3,PC4,PC5,greedy_communities,betweenness_communities,kmclust,hclust,mmclust
40,Bojan Bogdanovic,1.034949977,-0.894892903,1.548637058,-0.943714568,-0.189475649,2,3,17,6,11
48,Brook Lopez,-0.660555067,-3.142680495,2.043387541,0.85807784,-0.139481521,2,9,10,4,4
51,Bryn Forbes,3.482879149,-0.765247755,1.021892694,-0.213844249,-0.046814875,2,3,7,5,11
52,Buddy Hield,2.216007813,-0.993190376,1.463420272,-0.876485412,0.33521238,2,3,7,6,11
53,C.J. Miles,2.345943808,-2.202208355,0.135354281,0.384942436,0.216712809,2,3,1,6,6
57,Cameron Reynolds,2.449629779,-2.849114296,-0.043930226,-0.339597944,0.602692621,2,3,1,6,6
59,Carmelo Anthony,0.739786068,-1.863878048,0.964852291,1.326743965,-1.057878908,2,3,16,6,1
62,Chandler Parsons,1.271198466,-0.87452079,0.206488802,1.176964196,0.029066557,2,3,16,6,4
63,Channing Frye,1.477714967,-2.873551104,1.469164784,2.499526815,0.737473909,2,12,16,6,4
71,CJ McCollum,1.859763449,0.200083092,1.583575715,-0.53885661,-0.408662217,2,3,17,5,5
77,Courtney Lee,2.215079853,-0.655674193,0.141426581,0.61315121,-0.885774059,2,3,7,5,6
85,Damion Lee,2.666809634,-2.336974334,0.563101821,-0.653461581,0.133973552,2,3,1,6,6
86,Damyean Dotson,2.492480316,-0.91998999,0.188244027,-0.364703856,-0.072868116,2,3,7,6,6
89,Danilo Gallinari,0.239444149,-0.344784796,2.737270263,0.223125149,-0.542500324,2,16,17,4,1
90,Danny Green,2.90388338,-2.406263547,0.75643778,0.025880552,1.010423252,2,3,1,6,6
91,Dante Cunningham,0.891214654,-1.706448827,0.656093335,0.572819547,0.821366199,2,3,16,3,3
93,Danuel House,1.462549993,-2.493773216,0.004690772,-0.711020658,0.432793109,2,3,1,6,3
95,Darius Miller,3.100076,-1.981832052,0.320006266,1.857591773,-1.312134957,2,17,16,16,15
99,Davis Bertans,1.800724379,-3.038473675,1.571099238,0.35990749,0.49742554,2,3,1,6,6
109,DeMarre Carroll,1.120268485,-1.443631838,0.674457245,0.148937241,-0.362437005,2,3,16,6,1
110,Demetrius Jackson,2.088246426,0.265898514,2.013556735,-2.457649292,0.652601874,2,2,17,9,5
111,Deng Adel,2.134087718,-1.619092638,-1.136983603,0.741265211,0.132844653,2,3,16,6,6
112,Dennis Schröder,1.594427977,1.529236426,0.734873843,-0.130988061,0.236391087,2,2,17,5,5
120,Devin Harris,1.822898541,0.365281449,-0.182465317,1.072199391,-0.165098323,2,2,13,5,2
132,Doug McDermott,1.449211596,-2.899501959,0.633558018,-0.716559704,-0.455804406,2,3,1,6,11
136,Duncan Robinson,1.601407462,-3.049470987,-0.741292075,-0.996672914,-1.803680975,2,3,1,3,11
151,Eric Gordon,2.268462443,-0.908384209,0.782053259,-0.581840214,-0.35134969,2,3,7,6,11
154,Evan Fournier,1.780498707,0.100768286,0.232277357,-0.156447824,-0.129187251,2,3,7,5,5
162,Garrett Temple,1.8060424,-1.156789687,-0.443784507,0.428007595,-0.085414107,2,3,16,6,6
163,Gary Clark,1.622235599,-2.937548541,-0.043136869,-0.859346994,-0.978637208,2,3,1,6,11
166,George Hill,2.090017613,0.833738036,0.164305813,0.157469751,-0.817053813,2,2,7,5,5
167,Georges Niang,1.644021203,-2.11591495,0.282498941,-0.333617789,0.93590886,2,3,1,3,3
168,Gerald Green,2.715747947,-3.408834785,0.688657737,-0.202910026,-0.308692978,2,3,1,6,6
172,Gordon Hayward,0.867030313,-0.115418196,1.098165748,0.24403909,-0.616467208,2,3,17,5,1
178,Harrison Barnes,1.401906508,-1.228437633,1.201399649,-1.230069036,-0.050701094,2,3,1,6,11
183,Ian Clark,3.240710376,-0.256530806,-0.45544877,-0.078063286,0.156004133,2,3,7,5,11
185,Iman Shumpert,2.732647349,-1.383285871,-0.171121584,0.297540879,-0.216495218,2,3,7,5,6
197,J.J. Redick,3.768967086,-2.029952817,1.557215828,1.276317115,-2.110565247,2,17,3,16,15
198,J.R. Smith,3.499155041,-0.76039647,1.679505277,2.271690375,-0.66522004,2,17,7,5,11
201,Jae Crowder,1.062933908,-2.334777933,0.076614157,-0.298959231,-0.413821212,2,3,8,6,3
209,Jamal Murray,1.973546409,1.186574893,1.166180108,-0.958275441,0.155356765,2,2,17,5,5
213,James Nunnally,3.602646136,-3.82213374,-0.041908639,-1.141742805,-0.4659699,2,33,1,6,6
215,Jared Dudley,1.006177379,-1.823417761,-0.106557846,1.704372055,0.329720204,2,3,16,6,4
217,Jarell Martin,0.187205095,-3.648098802,-0.074469672,0.629432142,0.662688973,2,3,8,6,4
228,Jeff Green,0.418817786,-1.608786014,1.466822214,0.520836857,-0.723202923,2,3,16,6,1
232,Jeremy Lamb,1.329975693,0.689409648,1.303483669,-1.698814991,0.08481357,2,3,17,5,5
241,Jodie Meeks,2.532825487,-3.031651561,1.818847829,-1.264197798,-1.457052266,2,37,1,6,11
242,Joe Harris,1.45322117,-1.379124324,1.042601912,-0.128271782,0.81427366,2,3,1,3,3
243,Joe Ingles,2.179618023,0.647116094,0.636610392,0.998659529,0.754128738,2,2,13,2,2
247,John Jenkins,3.704669867,-2.911656875,0.99383434,1.391355582,-3.047015019,2,17,3,16,15
253,Jonas Jerebko,-0.049804324,-2.226886592,0.849022685,0.94779354,0.197568403,2,3,16,6,4
258,Jordan Clarkson,2.120285197,0.865918971,0.606178182,-1.470137246,-0.803176475,2,2,17,5,5
265,Josh Richardson,2.185957979,0.201494798,0.326843454,-0.439188143,-0.177084831,2,3,7,5,5
268,Julian Washburn,1.687349711,-1.222887553,-1.270532061,0.915299548,-0.959403322,2,3,16,6,6
271,Justin Holiday,2.726294374,-1.49788788,-0.144353607,-0.404015995,0.100746716,2,3,1,5,6
272,Justin Jackson,1.521246812,-2.536355588,0.087163188,-1.144221124,-0.755239799,2,3,1,6,11
285,Kentavious Caldwell-Pope,2.342377626,-1.736256403,0.176434833,-1.174947091,-0.676190315,2,3,1,6,11
289,Kevin Love,-0.493943777,-1.329777788,2.770757599,0.776376594,0.95172337,2,9,10,4,1
292,Khris Middleton,1.700167109,1.300779894,1.253843571,0.223880213,-0.344184548,2,2,17,5,5
294,Klay Thompson,2.415333219,-2.018279217,1.155952295,-0.467211184,-1.116072442,2,3,1,6,15
304,Lance Stephenson,1.854215971,0.728826892,0.191084818,0.384273507,0.989715883,2,2,13,2,2
305,Lance Thomas,0.718939672,-2.337615494,-0.623475445,0.869614302,-0.374208812,2,3,16,6,3
306,Landry Shamet,3.165053168,-1.882768297,-0.46562027,-1.208029952,0.275694379,2,3,1,5,6
307,Langston Galloway,3.545085024,-2.839745343,-0.390862884,-1.14270411,-0.370331644,2,3,1,6,6
317,Luke Kennard,2.893193396,-1.049861825,0.506419001,-0.266749949,-0.302086001,2,3,7,6,6
318,Luke Kornet,0.464880326,-2.563380443,1.216896708,-0.392054906,0.492879891,2,3,8,4,4
321,Malcolm Brogdon,0.793607785,0.670758297,2.024304156,-1.561382021,0.202202003,2,2,17,5,5
323,Malik Beasley,2.293932315,-1.680859407,0.083335225,-2.208315745,-0.28007118,2,3,1,6,11
327,Marco Belinelli,2.826299902,-1.796565522,1.283026631,0.844687548,-1.156084825,2,3,7,16,15
328,Marcus Derrickson,1.909975354,-3.529815965,0.485427381,0.376670507,1.201039756,2,3,1,6,6
329,Marcus Morris,0.760878787,-1.360148728,0.793278464,0.542806924,-0.67906276,2,3,16,6,1
337,Marvin Williams,1.229969805,-2.492556398,0.598223132,-0.316313478,0.107962677,2,3,1,6,3
349,Mike Muscala,0.459047945,-2.685102707,0.31896229,1.070021451,0.0567279,2,3,16,6,4
350,Mike Scott,1.565865114,-2.388046636,-0.012235029,0.946020618,1.092460764,2,3,16,6,6
366,Nicolas Batum,1.42553825,-0.624086876,1.255320899,1.042259142,0.315921244,2,3,16,6,4
367,Nik Stauskas,2.523720249,-0.582493073,0.439246615,-0.189412106,0.122035703,2,3,7,6,6
369,Nikola Mirotic,0.343790509,-2.349667318,1.474537563,-0.39243678,-0.126484015,2,3,8,4,4
376,Otto Porter,1.634228522,-1.037540096,0.614592616,-0.643535411,-0.292744271,2,3,7,6,11
377,P.J. Tucker,2.064155148,-2.742509072,-0.834605741,0.212959433,1.195648741,2,3,4,6,6
382,Patrick Patterson,1.20374401,-2.632734228,-0.48403322,0.298806908,-0.362629018,2,3,16,6,3
383,Patty Mills,3.985055959,0.389152455,0.737436682,-0.106665161,-0.332324579,2,2,7,5,11
385,Paul George,1.023002673,1.07633601,1.781759707,-0.817575976,0.111797872,2,2,17,5,5
390,Quinn Cook,3.436933694,0.04634648,0.072434673,-0.342873828,-0.115496896,2,3,7,5,11
395,Raymond Felton,3.537470751,0.70681454,1.136884208,0.978431753,-0.775511679,2,2,7,5,11
396,Reggie Bullock,3.089191021,-2.274317488,0.233361684,-0.091276725,-0.435654819,2,3,1,5,6
397,Reggie Jackson,2.810211831,1.390029957,0.806480072,-0.046830552,0.23404744,2,2,13,2,2
404,Rodney Hood,2.290983619,-0.305372968,0.864249552,-0.167625941,-0.682545348,2,3,7,5,5
409,Rudy Gay,-0.10777331,-0.365234487,2.18914297,1.047920529,0.411911101,2,16,10,4,1
412,Ryan Anderson,0.428533068,-1.317307622,-0.713316437,2.324571561,-0.853718381,2,3,16,19,4
413,Ryan Arcidiacono,2.771341829,1.039803025,0.176993884,0.021956441,0.584642847,2,2,13,2,2
414,Ryan Broekhoff,2.35562817,-2.885726702,0.555659991,-0.112565663,0.304555515,2,3,1,6,6
419,Seth Curry,3.755542877,-0.642357892,0.501445715,-0.034813571,0.041510642,2,3,7,5,11
431,Stephen Curry,3.568797676,0.666101998,1.942971562,-0.742209515,0.187897758,2,2,7,5,11
441,Terrence Ross,3.180560339,-1.608914819,1.59646996,0.423011241,-1.843276925,2,17,7,16,15
450,Tim Hardaway Jr.,2.114642349,0.016025801,0.779447189,-0.359345744,-0.666548489,2,3,7,5,5
452,Tobias Harris,0.343153805,-0.099313233,1.998673983,-0.489234193,-0.1532209,2,3,17,4,1
456,Tony Snell,1.910238057,-2.266686616,0.677667243,-0.977930878,-0.371817337,2,3,1,6,11
459,Treveon Graham,2.096179283,-2.195232612,-1.207557389,0.20618285,-0.032201029,2,3,1,6,6
460,Trevor Ariza,1.580090882,-0.837125633,0.778107232,0.142749872,-0.155504014,2,3,7,6,1
465,Troy Daniels,3.62201433,-1.844016844,-0.180910815,-0.044953024,0.416778231,2,3,1,5,6
467,Tyler Cavanaugh,0.207519358,-3.312750311,-1.191812048,0.138029779,-0.833540066,2,3,8,3,3
478,Vince Carter,1.938171488,-1.689538691,1.303257371,1.551548543,-0.125998126,2,3,16,6,15
481,Wayne Ellington,3.5753543,-2.410570609,-0.121026749,-0.719429719,-0.427900847,2,3,1,6,6
485,Wesley Johnson,1.640584058,-2.488450211,-0.983176305,1.405119455,-0.654844505,2,3,16,6,3
486,Wesley Matthews,2.617381917,-0.948889844,0.530665517,0.495254763,-0.077691796,2,3,7,5,6
487,Will Barton,1.608847824,0.490391797,0.464546897,-0.089483376,-0.093189944,2,3,17,5,5
490,Wilson Chandler,0.998785644,-1.726105339,-0.037026839,1.606427888,0.594422936,2,3,16,6,4
1,Aaron Gordon,-0.646912636,0.001669079,0.834848501,-0.792723477,0.074537091,1,1,18,1,1
3,Abdel Nader,0.770774744,-1.229720151,-0.445723662,-0.828933586,0.609431982,1,3,15,3,3
4,Al-Farouq Aminu,-0.02234084,-1.208349976,0.92190316,-0.344096663,-0.027956769,1,3,8,4,1
5,Al Horford,-1.103473262,-0.790055824,1.511494179,1.03779952,-1.010716964,1,1,10,1,4
10,Alex Poythress,-2.360419676,-1.626011525,-0.080608302,-0.140199341,1.413675823,1,4,10,8,8
11,Alfonzo McKinnie,-0.87606131,-2.234404337,-1.092713261,-0.49867478,0.418312777,1,3,8,3,3
18,Andre Iguodala,0.06656337,-0.787845487,0.287776692,0.661724429,-1.199571695,1,3,16,1,4
21,Andrew Wiggins,0.722059015,0.3972903,0.358970849,-1.525852694,-0.168783375,1,3,17,3,1
26,Antonio Blakeney,2.10298334,-0.458971968,0.247651056,-1.540580161,-0.36035676,1,3,7,3,11
28,Austin Rivers,2.087571542,0.566462699,-1.2914302,-0.337457773,-0.095256304,1,2,13,3,3
32,Ben McLemore,2.708058488,-2.57282461,-1.80849327,-0.647135914,1.162698421,1,3,4,6,3
38,Bobby Portis,-1.202955957,-0.353320085,0.539201505,-0.95213354,0.968499053,1,1,18,1,1
41,Bonzie Colson,0.216188532,-2.120066188,-0.397755627,-2.346627105,-0.514369861,1,3,8,3,3
45,Brandon Ingram,-0.445448288,0.908782136,-0.17346902,-0.882547414,-0.302738682,1,1,18,1,13
47,Brandon Sampson,1.538343077,-0.60391815,-1.56499955,-1.237146779,0.99547625,1,3,15,3,3
49,Bruce Brown,-0.155208906,-0.50110993,-1.348708908,-0.144890919,0.90827453,1,1,15,1,13
50,Bruno Caboclo,0.078748654,-2.016454565,-0.132101156,-0.107995941,1.334480053,1,3,8,3,3
60,Cedi Osman,1.000753117,-0.330695571,0.042152117,-0.413671351,0.139810269,1,3,15,3,3
61,Chandler Hutchison,-0.377400495,-0.645475202,-1.343702713,-1.049717923,-0.355356071,1,1,18,1,3
75,Corey Brewer,-0.198253014,-0.132481538,-0.928908147,0.278265841,0.308768825,1,1,18,1,13
81,D.J. Wilson,-0.300542325,-2.411199677,-0.777404001,-0.26933485,0.752655747,1,3,8,3,3
94,Dario Šaric,0.287565246,-1.152989743,0.272940629,-0.284923422,0.192468319,1,3,8,3,1
98,David Nwaba,-0.368022434,-0.277574606,-0.557893437,-0.768077845,0.32871261,1,1,18,1,13
100,Davon Reed,1.582772621,-0.594728256,0.062548465,-1.112854799,-0.321008272,1,3,15,3,11
103,DeAndre' Bembry,-0.839337034,1.217912951,-1.143835184,-0.269331011,0.668352707,1,1,18,1,13
114,Deonte Burton,-0.225614308,-1.444373325,-1.618414747,-0.303232079,0.146049205,1,3,8,1,3
125,Dillon Brooks,-0.075201787,-0.52627108,-1.006442895,0.074334821,1.370544576,1,1,15,1,13
126,Dion Waiters,3.204229296,-0.20331651,-0.612636999,-1.005524276,0.409132442,1,3,7,3,3
130,Donte DiVincenzo,1.287596356,-0.949454955,-1.317652246,-0.705172794,-0.530654797,1,3,15,3,3
131,Dorian Finney-Smith,-0.232804733,-1.111621912,-0.784086595,-0.597286537,0.215624749,1,3,8,1,13
133,Dragan Bender,-1.906070043,-1.626892902,-1.132049743,0.562991533,-0.280961756,1,21,10,1,8
137,Dwayne Bacon,1.192936554,-0.810349264,0.573747266,-1.232269823,0.137992317,1,3,15,3,11
142,E'Twaun Moore,2.137316416,-0.61442845,-0.240836177,-0.736655827,-0.31874571,1,3,7,3,11
144,Edmond Sumner,0.576905813,0.576294278,-2.091173684,-0.820460185,1.114487345,1,1,15,2,13
153,Ersan Ilyasova,-0.60847968,-1.786709125,0.409806765,0.942542236,0.704956891,1,3,10,4,4
156,Frank Jackson,1.481575762,-0.658430848,-1.2006741,-1.93250303,-0.298754075,1,3,15,3,3
157,Frank Kaminsky,-1.392724941,-1.176260065,0.282690254,0.270925744,-0.715555193,1,1,10,1,4
161,Furkan Korkmaz,1.536211163,-1.196804047,-0.481573683,-1.157514562,-0.001414539,1,3,15,3,3
164,Gary Harris,1.225916847,-0.140174319,-0.128293635,-1.518666076,-0.237541749,1,3,15,3,11
165,Gary Trent Jr.,2.932957785,-0.726722174,-1.229883182,-0.791640019,-0.4784404,1,3,7,5,3
170,Glenn Robinson III,0.753486274,-1.940548651,-0.755636359,-0.542199241,-0.856535822,1,3,8,3,3
174,Grayson Allen,2.310048849,-0.738535104,-0.927424934,-0.564171227,0.819334472,1,3,15,3,3
176,Guerschon Yabusele,-1.877843927,-0.741177488,-1.02028977,0.635916074,0.736381551,1,1,10,1,8
182,Henry Ellenson,0.092181447,-1.708677514,0.431727325,-0.592057014,1.391759336,1,3,8,3,3
187,Isaac Humphries,0.283443589,-3.45741751,-0.546904468,-1.81801321,1.064270419,1,28,8,3,3
199,Jabari Parker,-1.773073448,0.289538509,0.661268809,-0.574166082,0.104799368,1,1,18,1,1
203,JaKarr Sampson,-1.179927489,-0.143123362,0.233376292,-1.150210164,-1.370242078,1,1,18,1,1
204,Jake Layman,-0.688135652,-1.407409455,-0.512891197,-1.089455687,-1.037701264,1,3,8,3,3
207,Jalen Jones,0.033999552,-0.237037725,-0.529780284,-0.478532235,1.037688377,1,1,15,1,13
210,James Ennis,0.341132422,-2.001585798,-0.610725609,-0.475593293,0.402029145,1,3,8,3,3
212,James Johnson,0.115940134,0.085333901,0.470031751,0.787747727,0.48983971,1,3,10,1,4
214,JaMychal Green,-1.394908055,-1.170098397,0.701762789,0.430850734,1.694315141,1,1,10,8,4
219,Jaron Blossomgame,-0.25179978,-1.52082648,-0.446470869,-0.837351211,-0.945323769,1,3,8,3,3
226,Jaylen Brown,-0.318110792,-0.491337775,-0.499639917,-1.374735122,0.278703317,1,1,18,3,16
227,Jayson Tatum,0.243083452,-0.28998351,0.455908662,-1.349351172,0.044827652,1,3,15,3,1
230,Jemerrio Jones,-0.836681023,0.707261312,-2.145258023,-0.643443177,0.386259534,1,1,18,1,13
231,Jerami Grant,-0.53595475,-2.112507568,0.084174295,-1.787487389,0.003668561,1,3,8,3,3
235,Jerome Robinson,2.160388739,-0.674581764,-1.582516256,-0.111824738,0.836458097,1,3,15,3,3
246,John Henson,-2.063199834,-1.205316284,0.411302868,-0.482866087,0.921737956,1,1,10,8,8
252,Jonah Bolden,-1.774500589,-1.665215392,-1.342313572,0.763047679,1.248601804,1,38,10,1,8
255,Jonathan Isaac,-0.718372429,-2.125510225,0.092948307,-0.822922788,0.235392755,1,3,8,3,3
262,Josh Hart,1.123751195,-1.280650004,-0.906691867,-0.69740283,0.165076112,1,3,15,3,3
263,Josh Jackson,-0.707921131,0.843890654,-0.951600101,-0.618889411,0.964141982,1,1,18,1,13
264,Josh Okogie,0.526520439,-0.386112963,-1.561684014,-1.363575878,0.213861669,1,3,15,3,3
267,Juan Hernangómez,0.460718538,-1.805707036,-0.27438608,-0.601619716,0.093027007,1,3,8,3,3
270,Justin Anderson,-0.094211046,-0.478095259,-0.458390092,-0.631614881,0.507304083,1,3,15,1,13
273,Justise Winslow,0.656869074,0.760776358,-0.594490694,-0.522240568,1.271664769,1,1,15,3,13
278,Keita Bates-Diop,-0.379889136,-1.637680905,-1.217900402,-0.968492899,-1.02351973,1,3,8,3,3
279,Kelly Olynyk,-0.424156519,-1.551962804,0.783112521,0.775182497,0.436041855,1,3,10,4,4
280,Kelly Oubre Jr.,-0.49669166,-0.045579306,-0.206782561,-1.781862484,0.156650011,1,1,18,3,16
283,Kenrich Williams,0.920598978,-0.946411248,-1.360562601,-0.263945815,0.394857299,1,3,15,3,3
284,Kent Bazemore,1.347710651,0.492085411,-0.575136507,-0.372440419,0.62579399,1,3,15,3,3
287,Kevin Huerter,2.121431992,0.161005611,-0.675921209,-0.803868562,0.868475497,1,3,15,3,3
288,Kevin Knox,0.870075946,-0.645615831,-0.544943574,-1.156540091,0.558287901,1,3,15,3,3
293,Khyri Thomas,2.071521052,-2.209125545,-2.13184827,-1.407288074,0.685339164,1,3,4,6,3
297,Kyle Anderson,-1.275966778,0.354520584,-0.749577139,0.46123528,0.435540487,1,1,18,1,8
299,Kyle Kuzma,-0.22529261,-0.795455602,0.43108369,-1.248930269,-0.526901156,1,1,8,3,1
309,Lauri Markkanen,-0.916723507,-1.417135496,1.45493951,-0.903608127,0.370391982,1,1,10,4,1
315,Luc Mbah a Moute,-0.54938777,-1.461877339,-2.196166653,0.824995136,-0.596083712,1,21,11,19,3
319,Luol Deng,-0.075758791,-1.418092177,0.937343473,-0.391277765,-0.893305118,1,3,8,4,1
324,Malik Monk,2.410907292,-0.146336412,-0.540486356,-1.331381714,0.4302312,1,3,15,3,3
331,Mario Hezonja,-0.352888392,0.949662961,-0.963686473,-0.128530118,-0.000229053,1,1,18,1,13
333,Markieff Morris,-0.418903435,-1.638016728,0.206523833,0.757379469,0.321233463,1,3,10,4,4
340,Maurice Harkless,-1.643819819,-0.462206281,-0.986980587,-0.969458852,-0.03038787,1,1,18,17,16
341,Maxi Kleber,-0.865249746,-2.558589974,0.302359399,0.435508914,0.213652203,1,3,10,4,3
346,Michael Kidd-Gilchrist,-1.582705945,-0.6887772,0.110851302,-0.137912,0.876616505,1,1,10,8,8
347,Mikal Bridges,1.315767298,-1.064329956,-1.133371919,-1.097273909,0.208860958,1,3,15,3,3
351,Miles Bridges,-0.507895779,-1.420645339,-0.24891189,-2.027438752,0.003503095,1,1,8,3,3
359,Moritz Wagner,-1.177704618,-0.078050882,-1.47593574,0.399771144,0.065434377,1,21,18,1,8
362,Nemanja Bjelica,-0.818865561,-1.059780138,0.726962488,0.564813543,0.603410522,1,1,10,4,4
372,Norman Powell,1.250581491,-0.106278587,0.351676884,-1.21216256,0.712521536,1,3,15,3,3
373,OG Anunoby,0.265555772,-1.375226676,-1.86583802,-1.353994184,0.503574396,1,3,15,3,3
374,Omari Spellman,-0.642686242,-1.924970283,-0.240424763,-1.047121641,1.136910231,1,3,8,3,3
375,Omri Casspi,-1.908388634,-0.395245653,0.760611404,-0.578417857,-0.576950705,1,1,10,1,1
378,Pascal Siakam,-1.273408525,-0.138822917,0.819587001,-1.189322561,0.679326732,1,1,18,1,1
379,Pat Connaughton,0.460955282,-1.253171058,-0.079301183,-0.901323862,-1.030479104,1,3,8,3,3
389,Quincy Pondexter,-0.542759491,0.022573739,0.575360883,0.75236428,-0.526605455,1,1,10,1,4
393,Rawle Alkins,-0.309041801,0.164099817,-0.511146933,-0.885129394,0.804874723,1,1,18,1,13
400,Robert Covington,0.70141089,-1.226335255,0.023633861,-0.091601791,0.613671559,1,3,15,3,1
403,Rodions Kurucs,-1.020212371,-0.643287841,-0.331177047,-1.004953834,0.91332026,1,1,18,1,1
405,Rodney McGruder,1.881454264,-0.516777539,-0.484372909,-0.397259588,0.413500699,1,3,15,3,3
408,Royce O'Neale,0.830030058,-1.156545005,-0.663818191,0.365907901,0.949872094,1,3,15,3,3
416,Sam Dekker,-1.212527539,-0.24500365,-0.552542617,-1.919510516,-0.556747821,1,1,18,17,16
417,Semi Ojeleye,0.570348635,-2.036118861,-0.708319107,-0.646848996,-0.629834821,1,3,8,3,3
422,Shake Milton,1.481096776,-1.626664023,-1.392163464,-0.910854615,0.226768548,1,3,15,3,3
428,Solomon Hill,1.049632994,-1.49904409,-0.811346996,0.659509178,0.470355334,1,3,16,3,3
430,Stanley Johnson,0.894245719,-0.0575147,-0.83414184,-0.447629321,1.148255739,1,3,15,3,13
432,Sterling Brown,1.00115472,-1.143956156,-0.198463127,-1.00953641,0.807540724,1,3,15,3,3
434,Sviatoslav Mykhailiuk,2.434179605,-1.312986975,-1.70707275,-0.517739336,0.560215923,1,3,4,3,3
437,T.J. Warren,0.445601666,-0.59942732,0.966591976,-1.792947515,0.467099551,1,1,15,3,1
439,Taurean Prince,2.024135602,-0.9152606,0.137500545,-0.392918653,0.793644181,1,3,15,3,3
440,Terrance Ferguson,2.025753526,-2.90349614,-1.778720514,-1.167478348,0.438286083,1,3,4,6,3
443,Thabo Sefolosha,1.437040306,-1.528110291,-0.209956094,-0.08635819,0.814019581,1,3,15,3,3
444,Thaddeus Young,-1.437301484,0.420654315,0.238307046,-0.764827434,0.104339981,1,1,18,1,1
448,Thon Maker,-0.923713201,-2.990143081,-0.603147347,-0.559199236,0.779774534,1,3,8,3,3
451,Timothé Luwawu-Cabarrot,1.104203171,-2.055259511,-0.895187925,-0.948875275,0.645254259,1,3,8,3,3
457,Torrey Craig,-0.105538381,-1.817211706,-0.458017305,0.064209463,0.290544997,1,3,8,3,3
462,Trey Lyles,-0.89568094,-0.663853902,0.245121427,-0.805852957,-0.023063466,1,1,18,1,1
464,Troy Brown Jr.,0.140650812,-0.170188388,-0.653960789,-1.085524351,0.353273924,1,1,15,1,13
466,Troy Williams,-0.473103227,-0.961328077,-1.269695682,-0.92634728,-0.079474898,1,3,18,1,3
468,Tyler Dorsey,1.636161344,-0.368815322,-1.141893619,-1.27804677,-0.257597593,1,3,15,3,3
469,Tyler Johnson,1.958779645,0.223233624,-0.700466989,-0.580570432,-0.388120035,1,3,15,3,3
470,Tyler Lydon,-0.023762576,-0.94237408,-1.673788296,-0.074065996,1.566992797,1,3,15,1,13
473,Tyrone Wallace,-1.200649717,0.720692189,-1.713861154,-0.118395899,0.591487691,1,1,18,1,13
482,Wayne Selden,1.012976685,-0.17257115,-0.372002557,0.056586428,0.41718446,1,3,15,3,3
484,Wesley Iwundu,0.460532069,-0.256696836,-0.700784521,0.244539283,0.332214855,1,3,15,3,3
492,Yuta Watanabe,0.000147267,-1.519568653,-1.669837217,0.047709745,-1.460982641,1,3,8,19,3
496,Zhaire Smith,1.145827094,0.759620033,-1.556542789,-0.735375883,-0.623975581,1,2,15,3,2
