Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,% of FGA by Distance 2P,% of FGA by Distance 0-3,% of FGA by Distance 3-10,% of FGA by Distance 10-16,% of FGA by Distance 16-3P,% of FGA by Distance 3P,FG% by Distance 2P,FG% by Distance 0-3,FG% by Distance 3-10,FG% by Distance 10-16,FG% by Distance 16-3P,FG% by Distance 3P,% of FG Ast'd 2P,% of FG Ast'd 3P,Dunks %FGA,Dunks Num,Corner 3s %3PA,Corner 3s 3P%,Heaves Att.,Heaves Num
369,Mike Muscala\muscami01,PF,27,LAL,17,265,0.434,19.9,0.313,0.157,0.06,0.036,0.06,0.687,0.577,0.538,0.4,0.667,0.8,0.368,0.8,1,0,0,0.14,0.25,0,0
370,Sviatoslav Mykhailiuk\mykhasv01,SF,21,TOT,42,440,0.329,19.3,0.364,0.157,0.057,0.043,0.107,0.636,0.333,0.455,0.125,0.333,0.267,0.326,0.706,0.966,0.021,2,0.247,0.364,0,0
370,Sviatoslav Mykhailiuk\mykhasv01,SF,21,LAL,39,420,0.333,19.4,0.356,0.152,0.061,0.045,0.098,0.644,0.362,0.5,0.125,0.333,0.308,0.318,0.706,0.963,0.015,2,0.247,0.333,0,0
370,Sviatoslav Mykhailiuk\mykhasv01,SF,21,DET,3,20,0.25,16.6,0.5,0.25,0,0,0.25,0.5,0,0,,,0,0.5,,1,0.125,0,0.25,1,0,0
371,Abdel Nader\naderab01,SF,25,OKC,61,694,0.423,13.6,0.535,0.353,0.149,0.014,0.019,0.465,0.513,0.553,0.469,0,0.5,0.32,0.492,0.969,0.028,5,0.4,0.375,1,0
372,Larry Nance Jr.\nancela02,C,26,CLE,67,1795,0.52,9.5,0.795,0.468,0.154,0.09,0.084,0.205,0.567,0.728,0.351,0.349,0.3,0.337,0.648,0.97,0.196,82,0.173,0.235,1,0
373,Shabazz Napier\napiesh01,PG,27,BRK,56,983,0.389,17.2,0.476,0.189,0.11,0.094,0.083,0.524,0.449,0.585,0.292,0.415,0.389,0.333,0.237,0.592,0,0,0.118,0.37,1,0
374,Raul Neto\netora01,PG,26,UTA,37,474,0.46,12.9,0.627,0.304,0.161,0.124,0.037,0.373,0.535,0.694,0.385,0.45,0.167,0.333,0.278,0.8,0,0,0.35,0.381,0,0
375,Georges Niang\niangge01,PF,25,UTA,59,516,0.475,16.7,0.42,0.16,0.182,0.061,0.017,0.58,0.566,0.69,0.515,0.545,0,0.41,0.512,0.953,0.006,1,0.4,0.381,0,0
376,Joakim Noah\noahjo01,C,33,MEM,42,693,0.516,3.9,0.995,0.695,0.211,0.019,0.07,0.005,0.519,0.622,0.311,0,0.267,0,0.736,,0.211,41,0,,1,0
377,Nerlens Noel\noelne01,C,24,OKC,77,1055,0.587,4.7,1,0.62,0.188,0.145,0.047,0,0.587,0.725,0.365,0.375,0.308,,0.728,,0.301,76,,,0,0
378,Dirk Nowitzki\nowitdi01,PF,40,DAL,51,795,0.359,20.9,0.455,0.011,0.064,0.144,0.237,0.545,0.415,0.75,0.292,0.481,0.393,0.312,0.817,1,0.005,2,0.098,0.35,1,0
379,Frank Ntilikina\ntilila01,PG,20,NYK,43,904,0.337,16.6,0.592,0.152,0.117,0.202,0.121,0.408,0.371,0.488,0.303,0.368,0.294,0.287,0.29,0.727,0.011,2,0.209,0.25,1,0
380,James Nunnally\nunnaja01,SF,28,TOT,15,102,0.353,19.7,0.265,0.118,0.088,0,0.059,0.735,0.444,0.75,0.333,,0,0.32,0.75,1,0,0,0.48,0.333,0,0
380,James Nunnally\nunnaja01,SF,28,MIN,13,64,0.429,18.1,0.381,0.143,0.143,0,0.095,0.619,0.5,1,0.333,,0,0.385,0.75,1,0,0,0.385,0.4,0,0
380,James Nunnally\nunnaja01,SF,28,HOU,2,38,0.231,22.3,0.077,0.077,0,0,0,0.923,0,0,,,,0.25,,1,0,0,0.583,0.286,0,0
381,Jusuf Nurkić\nurkiju01,C,24,POR,72,1974,0.508,5.7,0.965,0.552,0.262,0.056,0.096,0.035,0.523,0.603,0.417,0.391,0.43,0.103,0.657,1,0.097,68,0.069,0,0,0
382,David Nwaba\nwabada01,SF,26,CLE,51,984,0.481,10.1,0.714,0.408,0.24,0.061,0.004,0.286,0.545,0.636,0.397,0.563,0,0.32,0.49,1,0.061,15,0.48,0.361,1,0
383,Royce O'Neale\onealro01,SF,25,UTA,82,1671,0.475,14.9,0.487,0.332,0.108,0.035,0.012,0.513,0.569,0.702,0.27,0.25,0.5,0.386,0.747,0.985,0.09,22,0.42,0.365,5,0
384,Kyle O'Quinn\oquinky01,C,28,IND,45,371,0.507,12.3,0.912,0.272,0.11,0.184,0.346,0.088,0.548,0.676,0.467,0.4,0.553,0.083,0.809,1,0.029,3,0.167,0,0,0
385,Semi Ojeleye\ojelese01,PF,24,BOS,56,594,0.424,16.7,0.437,0.272,0.076,0.044,0.044,0.563,0.565,0.721,0.417,0.143,0.286,0.315,0.692,0.929,0.057,9,0.36,0.344,1,0
386,Jahlil Okafor\okafoja01,C,23,NOP,59,935,0.586,4.6,0.986,0.514,0.378,0.086,0.008,0.014,0.591,0.683,0.489,0.484,0.667,0.2,0.493,1,0.122,39,0,,0,0
387,Elie Okobo\okoboel01,PG,21,PHO,53,958,0.393,15.5,0.545,0.241,0.124,0.11,0.069,0.455,0.475,0.643,0.306,0.375,0.35,0.295,0.453,0.795,0.024,7,0.106,0.286,1,0
388,Josh Okogie\okogijo01,SG,20,MIN,74,1757,0.386,14,0.577,0.315,0.118,0.057,0.087,0.423,0.464,0.631,0.183,0.414,0.273,0.279,0.654,0.95,0.081,38,0.34,0.315,1,0
389,Victor Oladipo\oladivi01,SG,26,IND,36,1147,0.423,16.2,0.633,0.226,0.082,0.087,0.238,0.367,0.47,0.602,0.188,0.431,0.457,0.343,0.291,0.676,0.036,16,0.083,0.278,1,0
